Company Symbol,Name,Sector,BVPS,EPS0,EPS1,EPS2,EPS3,EPS4,EPS5,DPS0,DPS1,DPS2,DPS3,DPS4,DPS5,Previous year end,Year end,Price
ATVI,"Activision Blizzard, Inc.",Communication Services,14.7,2.6,2.2,2.6,2.9,3.3,3.5,0.3,0.4,0.4,0.5,#N/A,#N/A,20171231,20181231,42.1
GOOGL,Alphabet Inc. Class A,Communication Services,252.6,43.7,46.4,54.3,62.3,74.4,84.3,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,"1,126.6"
T,AT&T Inc.,Communication Services,26.5,3.5,3.6,3.7,3.7,3.8,3.9,2.0,2.1,2.1,2.1,2.2,2.1,20171231,20181231,31.1
CBS,CBS Corporation Class B,Communication Services,7.5,5.2,5.7,6.6,7.4,8.5,7.9,0.7,0.8,0.9,0.9,1.5,1.8,20171231,20181231,50.2
CTL,"CenturyLink, Inc.",Communication Services,18.6,1.2,1.2,1.3,1.3,1.3,1.3,2.2,1.0,1.0,1.0,1.0,1.0,20171231,20181231,13.2
CHTR,"Charter Communications, Inc. Class A",Communication Services,157.7,5.2,8.0,12.9,18.8,26.6,24.2,0.0,0.0,0.0,0.0,0.0,#N/A,20171231,20181231,344.9
CMCSA,Comcast Corporation Class A,Communication Services,15.6,2.6,2.7,3.1,3.5,4.1,4.5,0.8,0.8,0.9,1.0,1.1,1.1,20171231,20181231,38.7
DISCA,"Discovery, Inc. Class A",Communication Services,14.7,2.1,3.6,3.9,4.3,4.9,5.4,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,28.9
DISH,DISH Network Corporation Class A,Communication Services,18.4,3.0,2.4,1.9,1.5,0.9,0.4,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,32.5
EA,Electronic Arts Inc.,Communication Services,14.8,4.4,3.9,4.2,4.9,5.9,6.8,0.0,0.0,0.0,0.0,3.7,#N/A,20170331,20180331,95.8
FB,"Facebook, Inc. Class A",Communication Services,29.2,7.6,7.5,8.8,10.5,11.5,12.7,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,161.5
IPG,"Interpublic Group of Companies, Inc.",Communication Services,6.3,1.9,1.8,2.0,2.0,2.2,#N/A,0.8,0.9,1.0,1.2,#N/A,#N/A,20171231,20181231,23.0
NFLX,"Netflix, Inc.",Communication Services,11.6,2.7,4.1,6.6,9.6,12.6,15.5,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,358.1
NWSA,News Corporation Class A,Communication Services,16.0,0.4,0.4,0.5,0.6,0.4,#N/A,0.2,0.2,0.2,0.2,#N/A,#N/A,20170630,20180630,13.0
OMC,Omnicom Group Inc,Communication Services,11.0,5.8,5.8,6.1,6.4,7.2,#N/A,2.4,2.6,2.7,3.1,#N/A,#N/A,20171231,20181231,75.7
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,12.6,3.4,4.8,5.0,5.9,7.2,7.9,0.0,0.0,0.0,0.0,0.0,0.0,20170331,20180331,87.3
TRIP,"TripAdvisor, Inc.",Communication Services,10.5,1.7,1.9,2.2,2.6,3.1,4.1,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,53.2
FOXA,"Twenty-First Century Fox, Inc. Class A",Communication Services,10.5,2.0,2.0,2.3,2.6,2.9,2.7,0.4,0.4,0.5,0.5,#N/A,#N/A,20170630,20180630,50.4
TWTR,"Twitter, Inc.",Communication Services,8.8,0.9,0.9,1.0,1.2,1.2,1.4,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,30.8
VZ,Verizon Communications Inc.,Communication Services,12.9,4.7,4.7,4.8,4.9,5.1,5.2,2.4,2.4,2.5,2.5,2.6,2.6,20171231,20181231,56.9
VIAB,Viacom Inc. Class B,Communication Services,18.4,4.1,4.3,4.4,4.6,4.9,5.1,0.8,0.8,0.8,0.8,#N/A,#N/A,20170930,20180930,29.2
DIS,Walt Disney Company,Communication Services,32.7,7.1,7.0,7.2,7.6,7.7,8.4,1.7,1.8,1.9,1.9,2.0,2.1,20170930,20180929,112.8
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,48.0,7.1,8.1,9.5,11.1,13.4,15.1,0.2,0.2,0.2,0.2,#N/A,#N/A,20171230,20181229,161.8
AMZN,"Amazon.com, Inc.",Consumer Discretionary,87.0,20.1,27.2,39.0,54.6,72.7,87.2,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,"1,639.8"
APTV,Aptiv PLC,Consumer Discretionary,13.1,5.3,5.4,6.1,7.0,8.1,9.0,0.9,0.9,0.9,0.9,1.1,#N/A,20171231,20181231,83.1
AZO,"AutoZone, Inc.",Consumer Discretionary,-55.4,50.3,61.5,64.1,70.1,80.1,90.9,0.0,0.0,0.0,0.0,#N/A,#N/A,20170826,20180825,939.0
BBY,"Best Buy Co., Inc.",Consumer Discretionary,11.8,5.3,5.6,5.9,6.2,6.7,7.2,1.8,2.0,2.2,2.4,#N/A,#N/A,20180203,20190202,68.8
BKNG,Booking Holdings Inc.,Consumer Discretionary,183.6,92.6,101.0,113.7,123.6,127.8,138.9,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,"1,697.0"
BWA,BorgWarner Inc.,Consumer Discretionary,20.4,4.5,4.3,4.7,5.2,5.8,6.4,0.7,0.7,0.7,0.8,0.8,#N/A,20171231,20181231,40.6
CPRI,Capri Holdings Limited,Consumer Discretionary,13.0,4.5,5.0,5.0,5.5,6.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,20170401,20180331,45.6
KMX,"CarMax, Inc.",Consumer Discretionary,18.0,3.6,4.7,5.1,5.5,#N/A,#N/A,0.0,0.0,0.0,0.0,#N/A,#N/A,20170228,20180228,62.1
CCL.U,Carnival Corporation,Consumer Discretionary,35.0,4.3,4.8,5.3,6.2,7.1,#N/A,2.0,2.1,2.3,2.6,3.5,#N/A,20171130,20181130,57.8
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,51.6,9.1,12.2,15.5,18.1,#N/A,#N/A,0.0,0.0,0.0,0.0,#N/A,#N/A,20171231,20181231,607.5
DHI,"D.R. Horton, Inc.",Consumer Discretionary,23.7,3.8,4.0,4.3,4.4,#N/A,#N/A,0.5,0.6,0.6,0.8,#N/A,#N/A,20170930,20180930,38.9
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,17.6,4.8,5.7,6.3,6.8,#N/A,#N/A,2.5,3.0,3.3,3.5,#N/A,#N/A,20170528,20180527,112.1
DG,Dollar General Corporation,Consumer Discretionary,22.4,4.5,6.0,6.6,7.3,8.4,9.7,1.0,1.2,1.3,1.4,1.5,#N/A,20170203,20180202,118.5
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,30.2,4.9,5.4,5.8,6.4,7.1,7.8,0.0,0.0,0.0,0.0,#N/A,#N/A,20170128,20180203,96.3
